Japanese word,Translation, Transcription
私, я, Watashi
あなた, ты, Anata
それ, то, Sore
これ, это, Kore
彼, он, Kare
彼女, она, Kanojo
私たち, мы, Watashitachi
今日, сегодня, Kyou
明日, завтра, Ashita
昨日, вчера, Kinou
時間, время, Jikan
日本, Япония, Nihon
学校, школа, Gakkou
先生, учитель, Sensei
友達, друг, Tomodachi
食べる, есть, Taberu
飲む, пить, Nomu
行く, идти, Iku
来る, приходить, Kuru
見る, смотреть, Miru
聞く, слушать, Kiku
話す, говорить, Hanasu
買う, покупать, Kau
売る, продавать, Uru
読む, читать, Yomu
書く, писать, Kaku
遊ぶ, играть, Asobu
作る, делать, Tsukuru
持つ, держать, Motsu
使う, использовать, Tsukau
好き, нравится, Suki
嫌い, не нравится, Kirai
大きい, большой, Ookii
小さい, маленький, Chiisai
新しい, новый, Atarashii
古い, старый, Furui
早い, быстрый, Hayai
遅い, медленный, Osoi
高い, дорогой, Takai
安い, дешевый, Yasui
暑い, жаркий, Atsui
寒い, холодный, Samui
面白い, интересный, Omoshiroi
難しい, сложный, Muzukashii
簡単, простой, Kantan
楽しい, веселый, Tanoshii
悲しい, грустный, Kanashii
美しい, красивый, Utsukushii
強い, сильный, Tsuyoi
弱い, слабый, Yowai
長い, длинный, Nagai
短い, короткий, Mijikai
明るい, светлый, Akarui
暗い, темный, Kurai
静か, тихий, Shizuka
うるさい, громкий, Urasai
楽, удобный, Raku
困難, трудный, Konnan
平和, мирный, Heiwa
忙しい, занятой, Isogashii
大切, важный, Taisetsu
全て, все, Subete
何, что, Nani
誰, кто, Dare
どこ, где, Doko
どうして, почему, Doushite
いつ, когда, Itsu
こちら, здесь, Kochira
そちら, там, Sochira
あちら, вон там, Achira
一つ, один (предмет), Hitotsu
二つ, два (предмета), Futatsu
三つ, три (предмета), Mittsu
四つ, четыре (предмета), Yottsu
五つ, пять (предметов), Itsutsu
六つ, шесть (предметов), Muttsu
七つ, семь (предметов), Nanatsu
八つ, восемь (предметов), Yattsu
九つ, девять (предметов), Kokonotsu
十, десять, Juu
百, сто, Hyaku
千, тысяча, Sen
万, десять тысяч, Man
億, сто миллионов, Oku
円, йена, En
時間, время, Jikan
年, год, Nen
月, месяц, Tsuki
日, день, Hi
曜日, день недели, Youbi
今, сейчас, Ima
前, перед, Mae
後ろ, за, Ushiro
上, наверху, Ue
下, внизу, Shita
左, налево, Hidari
右, направо, Migi
中, внутри, Naka
外, снаружи, Soto
大丈夫, все в порядке, Daijoubu
大好き, очень нравится, Daisuki
嫌い, не нравится, Kirai
何でも, все, что угодно, Nandemo
何か, что-то, Nanika
どちら, какой (из двух), Dochira
どれ, который, Dore
今, теперь, Ima
前, прежде, Mae
後, после, Ato
昔, раньше, Mukashi
今, теперь, Ima
私, я, Watashi
あなた, ты, Anata
私たち, мы, Watashitachi
彼ら, они (муж.), Karera
彼女たち, они (жен.), Kanojotachi
友達, друг, Tomodachi
親, родители, Oya
兄, старший брат, Ani
妹, младшая сестра, Imouto
弟, младший брат, Otouto
姉, старшая сестра, Ane
赤, красный, Aka
青, синий, Ao
白, белый, Shiro
黒, черный, Kuro
緑, зеленый, Midori
黄色, желтый, Kiiro
ピンク, розовый, Pinku
オレンジ, оранжевый, Orenji
紫, фиолетовый, Murasaki
灰色, серый, Haiiro
金色, золотой, Kiniro
銀色, серебряный, Giniro
昼, день (время суток), Hiru
夜, ночь, Yoru
朝, утро, Asa
夕方, вечер, Yuugata
朝ごはん, завтрак, Asagohan
昼ごはん, обед, Hirugohan
晩ごはん, ужин, Bangohan
食べ物, еда, Tabemono
飲み物, напитки, Nomimono
果物, фрукты, Kudamono
野菜, овощи, Yasai
肉, мясо, Niku
魚, рыба, Sakana
卵, яйцо, Tamago
ご飯, рис, Gohan
パン, хлеб, Pan
牛乳, молоко, Gyuunyuu
ジュース, сок, Juusu
お茶, чай, Ocha
コーヒー, кофе, Koohii
水, вода, Mizu
薬, лекарство, Kusuri
病院, больница, Byouin
学校, школа, Gakkou
図書館, библиотека, Toshokan
郵便局, почта, Yuubinkyoku
銀行, банк, Ginkou
映画, фильм, Eiga
音楽, музыка, Ongaku
本, книга, Hon
雑誌, журнал, Zasshi
新聞, газета, Shinbun
テレビ, телевизор, Terebi
ラジオ, радио, Rajio
ゲーム, игра, Geemu
スポーツ, спорт, Supootsu
運転, вождение, Unten
旅行, путешествие, Ryokou
仕事, работа, Shigoto
勉強, учеба, Benkyou
休み, выходной, Yasumi
会話, разговор, Kaiwa
日本語, японский язык, Nihongo
外国語, иностранный язык, Gaikokugo
文化, культура, Bunka
歴史, история, Rekishi
社会, общество, Shakai
科学, наука, Kagaku
数学, математика, Suugaku
英語, английский, Eigo
物理, физика, Butsuri
化学, химия, Kagaku
生物, биология, Seibutsu
地理, география, Chiri
音楽, музыка, Ongaku
美術, искусство, Bijutsu
体育, физкультура, Taiiku
料理, кулинария, Ryouri
舞台, сцена, Butai
絵, картина, E
歌, песня, Uta
映画, кино, Eiga
舞踏, танец, Butou
詩, стихотворение, Shi
旅行, путешествие, Ryokou
休み, отпуск, Yasumi
話す, говорить, Hanasu
聞く, слушать, Kiku
読む, читать, Yomu
書く, писать, Kaku
見る, смотреть, Miru
食べる, есть, Taberu
飲む, пить, Nomu
歩く, ходить, Aruku
走る, бегать, Hashiru
見る, смотреть, Miru
見る, видеть, Miru
来る, приходить, Kuru
行く, идти, Iku
寝る, спать, Neru
起きる, просыпаться, Okiru
帰る, возвращаться, Kaeru
働く, работать, Hataraku
勉強する, учиться, Benkyou suru
休む, отдыхать, Yasumu
歌う, петь, Utau
遊ぶ, играть, Asobu
作る, делать, Tsukuru
買う, покупать, Kau
売る, продавать, Uru
欲しい, хотеть, Hoshii
必要, необходимый, Hitsuyou
助ける, помогать, Tasukeru
忘れる, забывать, Wasureru
覚える, запоминать, Oboeru
教える, учить, Oshieru
練習する, тренироваться, Renshuu suru
使う, использовать, Tsukau
持つ, держать, Motsu
切る, резать, Kiru
開ける, открывать, Akeru
閉める, закрывать, Shimeru
入れる, вставлять, Ireru
出す, вынимать, Dasu
動かす, двигать, Ugokasu
止める, останавливать, Tomeru
進む, двигаться вперед, Susumu
遅れる, опаздывать, Okureru
待つ, ждать, Matsu
始める, начинать, Hajimeru
終わる, заканчивать, Owaru
寝る, ложиться спать, Neru
起きる, вставать, Okiru
助ける, спасать, Tasukeru
拭く, вытирать, Fuku
描く, рисовать, Kaku
運転する, водить, Unten suru
洗う, мыть, Arau
乗る, садиться (на транспорт), Noru
降りる, выходить (из транспорта), Oriru
拾う, поднимать, Hirou
集める, собирать, Atsumeru
歩く, идти, Aruku
走る, бегать, Hashiru
飛ぶ, летать, Tobu
泳ぐ, плавать, Oyogu
登る, подниматься, Noboru
降る, падать (о дожде), Furu
降りる, спускаться, Oriru
掃除する, убираться, Souji suru
料理する, готовить, Ryouri suru
洗濯する, стирать, Sentaku suru
電話する, звонить, Denwa suru
遊びに行く, идти развлекаться, Asobi ni Iku
見学する, осматривать, Kenkaku suru
送る, отправлять, Okuru
受ける, получать, Ukeru
話し合う, обсуждать, Hanashiau
泣く, плакать, Naku
笑う, смеяться, Warau
怒る, злиться, Okoru
悲しむ, грустить, Kanashimu
喜ぶ, радоваться, Yorokobu
怖がる, бояться, Kogaru
安心する, успокаиваться, Anshin suru
驚く, удивляться, Odoroku
疑う, сомневаться, Utagau
信じる, верить, Shinjiru
理解する, понимать, Rikai suru
考える, думать, Kangaeru
覚える, запоминать, Oboeru
計画する, планировать, Keikaku suru
決める, решать, Kimeru
始める, начинать, Hajimeru
終わる, заканчивать, Owaru
探す, искать, Sagasu
見つける, находить, Mitsukeru
閉める, закрывать, Shimeru
開ける, открывать, Akeru
送る, отправлять, Okuru
受ける, получать, Ukeru
入れる, класть, Ireru
出す, вытаскивать, Dasu
持つ, иметь, Motsu
使う, использовать, Tsukau
買う, покупать, Kau
売る, продавать, Uru
食べる, есть, Taberu
飲む, пить, Nomu
出かける, выходить, Dekakeru
届ける, доставлять, Todokeru
遊ぶ, развлекаться, Asobu
飲み物, напитки, Nomimono
食べ物, еда, Tabemono
果物, фрукты, Kudamono
野菜, овощи, Yasai
肉, мясо, Niku
魚, рыба, Sakana
卵, яйцо, Tamago
ご飯, рис, Gohan
パン, хлеб, Pan
ジュース, сок, Juusu
コーヒー, кофе, Koohii
水, вода, Mizu
牛乳, молоко, Gyuunyuu
お茶, чай, Ocha
ビール, пиво, Biiru
ワイン, вино, Wain
カクテル, коктейль, Kakuteru
お酒, алкоголь, Osake
料理, кулинария, Ryouri
レストラン, ресторан, Resutoran
カフェ, кафе, Kafe
バー, бар, Baa
パン屋, булочная, Panya
寿司屋, суши-бар, Sushiya
ラーメン屋, рамен-бар, Raamen-ya
花屋, цветочный магазин, Hanaya
書店, книжный магазин, Shoten
服屋, магазин одежды, Fukuya
靴屋, магазин обуви, Kutsuya
スポーツ店, спортивный магазин, Supootsu-ten
薬局, аптека, Yakkyoku
郵便局, почта, Yuubinkyoku
銀行, банк, Ginkou
映画館, кинотеатр, Eigakan
劇場, театр, Gekijou
美術館, музей, Bijutsukan
公園, парк, Kouen
駅, станция, Eki
空港, аэропорт, Kuukou
図書館, библиотека, Toshokan
学校, школа, Gakkou
大学, университет, Daigaku
クラス, класс, Kurasu
授業, урок, Jugyou
試験, экзамен, Shiken
宿題, домашка, Shukudai
学生, студент, Gakusei
